id,cost,status
1,2000000,0
2,2000000,0
3,2000000,0
4,2000000,0
5,2000000,0
6,2000000,0
7,2000000,0
8,2000000,0
9,2000000,0
10,2000000,0
11,2000000,0
12,2000000,0
13,2000000,0
14,2000000,0
15,2000000,0
16,2000000,0
17,2000000,0
18,2000000,0
19,2000000,0
20,2000000,0
21,2000000,0
22,2000000,0
23,2000000,0
24,2000000,0
25,2000000,0
26,2000000,0
27,2000000,0
28,2000000,0
29,10213534,0
30,22615804,0
31,39982140,0
32,42778284,0
33,42778284,0
34,12180330,0
35,10775134,0
36,10775134,0
37,11880108,0
38,9440649,0
39,2000000,0
40,2000000,0
41,2000000,0
42,2000000,0
43,2000000,0
44,2000000,0
45,2000000,0
46,2000000,0
47,2000000,0
48,2000000,0
49,2000000,0
50,2000000,0
51,2000000,0
52,2000000,0
53,2000000,0
54,2000000,0
55,2000000,0
56,2000000,0
57,2000000,0
58,2000000,0
59,2000000,0
60,2000000,0
61,2000000,0
62,2000000,0
63,2000000,0
64,2000000,0
65,2000000,0
66,2000000,0
67,10213534,0
68,10213534,0
69,22615804,0
70,39982140,0
71,42778284,0
72,15695067,0
73,11514351,0
74,10775134,0
75,11880108,0
76,11795680,0
77,2000000,0
78,2000000,0
79,2000000,0
80,2000000,0
81,2000000,0
82,2000000,0
83,2000000,0
84,2000000,0
85,2000000,0
86,2000000,0
87,2000000,0
88,2000000,0
89,2000000,0
90,2000000,0
91,2000000,0
92,2000000,0
93,2000000,0
94,2000000,0
95,2000000,0
96,14372667,0
97,14372667,0
98,16421396,0
99,16421396,0
100,2000000,0
101,2000000,0
102,2000000,0
103,2000000,0
104,9047813,0
105,21211870,0
106,33435516,0
107,39982140,0
108,42778284,0
109,42778284,0
110,12180330,0
111,11514351,0
112,12216935,0
113,11880108,0
114,9440649,0
115,2000000,0
116,2000000,0
117,2000000,0
118,2000000,0
119,2000000,0
120,2000000,0
121,2000000,0
122,2000000,0
123,2000000,0
124,2000000,0
125,2000000,0
126,2000000,0
127,2000000,0
128,2000000,0
129,2000000,0
130,2000000,0
131,2000000,0
132,2000000,0
133,2000000,0
134,2000000,0
135,14372667,0
136,16421396,0
137,16421396,0
138,16421396,0
139,2000000,0
140,2000000,0
141,2000000,0
