species	pu	amount
10	1	590000
10	2	600000
10	3	590000
10	4	600000
10	5	590000
10	6	590000
10	7	590000
10	8	600000
10	9	600000
10	10	590000
10	11	590000
10	12	590000
10	13	600000
10	14	590000
10	15	600000
10	16	590000
10	17	600000
10	18	590000
10	19	590000
10	20	590000
10	21	590000
10	22	600000
10	23	590000
10	24	600000
10	25	590000
10	26	600000
10	27	590000
10	28	590000
10	29	590000
10	30	590000
10	31	600000
13	32	550000
14	32	40000
15	32	590000
11	33	600000
15	33	600000
11	34	580000
15	34	590000
11	35	600000
15	35	600000
4	36	580000
11	36	10000
15	36	590000
4	37	230000
11	37	360000
15	37	590000
19	37	490000
1	38	160000
15	38	180000
19	38	590000
10	39	2400000
10	40	2940000
10	41	2950000
10	42	2930000
10	43	2930000
10	44	2940000
10	45	2950000
10	46	2940000
10	47	2920000
10	48	2940000
10	49	2950000
10	50	2950000
10	51	2930000
10	52	2930000
10	53	2950000
10	54	2940000
10	55	2940000
10	56	2930000
10	57	2940000
10	58	2950000
10	59	2940000
10	60	2930000
10	61	2930000
10	62	2950000
10	63	2940000
10	64	2940000
10	65	2930000
10	66	2940000
10	67	2950000
10	68	2940000
10	69	2930000
10	70	2260000
13	70	80000
14	70	590000
15	70	2480000
11	71	1890000
13	71	1060000
15	71	2940000
11	72	2950000
15	72	2950000
11	73	2940000
15	73	2930000
4	74	1010000
11	74	1920000
15	74	2930000
1	75	460000
4	75	2470000
11	75	10000
15	75	2940000
1	76	190000
4	76	2570000
11	76	160000
15	76	2950000
19	76	2950000
10	77	4060000
10	78	4050000
10	79	4060000
10	80	4080000
10	81	4060000
10	82	4070000
10	83	4050000
10	84	4070000
10	85	4070000
10	86	4050000
10	87	4060000
10	88	4060000
10	89	4080000
10	90	4060000
10	91	4050000
10	92	4060000
10	93	4060000
10	94	4080000
10	95	4050000
10	96	4060000
10	97	4070000
10	98	4080000
10	99	4060000
10	100	4050000
10	101	4060000
10	102	4060000
10	103	4070000
10	104	4060000
10	105	4060000
10	106	4070000
10	107	4070000
15	107	120000
10	108	30000
13	108	3940000
14	108	90000
15	108	4060000
11	109	3900000
13	109	140000
15	109	4050000
4	110	2030000
11	110	2040000
15	110	4060000
4	111	190000
11	111	3870000
15	111	4080000
4	112	1530000
11	112	2540000
15	112	4070000
4	113	1580000
11	113	2480000
15	113	4060000
19	113	3100000
1	114	680000
4	114	1470000
11	114	230000
15	114	3120000
19	114	4060000
10	115	3280000
10	116	3930000
10	117	3940000
10	118	3940000
10	119	3940000
10	120	3940000
10	121	3930000
10	122	3950000
10	123	3940000
10	124	3950000
