"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,1528.000000,1528.000000,0,1528,0,0,yes,1.000000
19,,1540455000.000000,1540520000.000000,0,561,0,0,yes,1.000000
18,,429297000.000000,501630000.000000,0,139,0,0,yes,1.000000
17,,1241586000.000000,1278150000.000000,0,580,0,0,yes,1.000000
16,,48534000.000000,49340000.000000,0,238,0,0,yes,1.000000
15,,1990737000.000000,1990890000.000000,0,580,0,0,yes,1.000000
14,,2901000.000000,2010000.000000,0,2,0,0,no,0.692865
13,,3347238000.000000,2818620000.000000,0,1013,0,0,no,0.842073
12,,1080336000.000000,798520000.000000,0,921,0,0,no,0.739140
11,,2150724000.000000,2150420000.000000,0,908,0,0,no,0.999859
10,,2024391000.000000,2024210000.000000,0,512,0,0,no,0.999911
9,,1075698000.000000,1018320000.000000,0,390,0,0,no,0.946660
8,,870981000.000000,460940000.000000,0,415,0,0,no,0.529219
7,,136449000.000000,93630000.000000,0,94,0,0,no,0.686190
6,,93306000.000000,93370000.000000,0,247,0,0,yes,1.000000
5,,120753000.000000,130220000.000000,0,482,0,0,yes,1.000000
4,,842415000.000000,838090000.000000,0,556,0,0,no,0.994866
3,,45678000.000000,53920000.000000,0,224,0,0,yes,1.000000
2,,145032000.000000,222550000.000000,0,733,0,0,yes,1.000000
1,,215232000.000000,215250000.000000,0,436,0,0,yes,1.000000
