"planning_unit","number"
12221,100
12220,0
12219,100
12218,100
12217,100
12216,0
12215,0
12214,0
12213,0
12212,43
12211,0
12210,0
12209,0
12208,0
12207,0
12206,0
12205,0
12204,0
12203,100
12202,99
12201,73
12200,100
12199,0
12198,0
12197,100
12196,49
12195,1
12194,0
12193,0
12192,0
12191,0
12190,100
12189,0
12188,0
12187,0
12186,43
12185,63
12184,40
12183,38
12182,0
12181,94
12180,100
12179,100
12178,82
12177,100
12176,100
12175,100
12174,0
12173,100
12172,100
12171,100
12170,1
12169,100
12168,0
12167,0
12166,0
12165,0
12164,72
12163,35
12162,33
12161,96
12160,0
12159,0
12158,0
12157,0
12156,100
12155,100
12154,17
12153,99
12152,0
12151,0
12150,0
12149,0
12148,100
12147,0
12146,0
12145,0
12144,0
12143,0
12142,100
12141,0
12140,47
12139,36
12138,0
12137,34
12136,0
12135,0
12134,0
12133,100
12132,100
12131,100
12130,94
12129,100
12128,100
12127,97
12126,51
12125,100
12124,100
12123,0
12122,0
12121,97
12120,100
12119,100
12118,0
12117,31
12116,100
12115,49
12114,0
12113,0
12112,0
12111,0
12110,0
12109,0
12108,0
12107,52
12106,100
12105,100
12104,0
12103,100
12102,41
12101,93
12100,0
12099,0
12098,51
12097,0
12096,0
12095,0
12094,0
12093,0
12092,0
12091,0
12090,0
12089,0
12088,31
12087,0
12086,0
12085,98
12084,0
12083,0
12082,100
12081,100
12080,100
12079,100
12078,90
12077,100
12076,0
12075,100
12074,0
12073,100
12072,100
12071,0
12070,0
12069,100
12068,0
12067,0
12066,100
12065,4
12064,100
12063,0
12062,0
12061,1
12060,0
12059,0
12058,0
12057,0
12056,0
12055,0
12054,0
12053,100
12052,100
12051,100
12050,66
12049,100
12048,0
12047,0
12046,100
12045,0
12044,0
12043,100
12042,97
12041,0
12040,0
12039,90
12038,0
12037,0
12036,0
12035,0
12034,0
12033,0
12032,0
12031,100
12030,100
12029,100
12028,100
12027,100
12026,100
12025,98
12024,100
12023,0
12022,0
12021,0
12020,100
12019,0
12018,100
12017,100
12016,100
12015,100
12014,97
12013,99
12012,0
12011,0
12010,0
12009,0
12008,0
12007,0
12006,0
12005,0
12004,0
12003,0
12002,100
12001,100
12000,88
11999,100
11998,94
11997,100
11996,100
11995,100
11994,0
11993,0
11992,100
11991,100
11990,0
11989,100
11988,100
11987,0
11986,100
11985,0
11984,0
11983,4
11982,0
11981,0
11980,0
11979,0
11978,0
11977,0
11976,100
11975,100
11974,100
11973,100
11972,100
11971,100
11970,100
11969,73
11968,31
11967,0
11966,0
11965,0
11964,100
11963,100
11962,100
11961,100
11960,47
11959,100
11958,99
11957,94
11956,0
11955,0
11954,1
11953,0
11952,0
11951,0
11950,0
11949,0
11948,0
11947,100
11946,100
11945,100
11944,0
11943,100
11942,70
11941,100
11940,94
11939,0
11938,100
11937,100
11936,100
11935,0
11934,100
11933,0
11932,100
11931,34
11930,55
11929,0
11928,0
11927,0
11926,58
11925,0
11924,0
11923,0
11922,100
11921,100
11920,100
11919,100
11918,100
11917,0
11916,0
11915,87
11914,100
11913,100
11912,0
11911,100
11910,0
11909,100
11908,100
11907,0
11906,0
11905,100
11904,0
11903,0
11902,0
11901,3
11900,0
11899,0
11898,0
11897,0
11896,0
11895,100
11894,100
11893,100
11892,0
11891,100
11890,60
11889,80
11888,100
11887,99
11886,100
11885,100
11884,100
11883,100
11882,94
11881,96
11880,100
11879,100
11878,0
11877,47
11876,0
11875,8
11874,1
11873,1
11872,0
11871,0
11870,0
11869,0
11868,0
11867,100
11866,100
11865,100
11864,100
11863,100
11862,100
11861,100
11860,100
11859,100
11858,100
11857,84
11856,100
11855,100
11854,100
11853,100
11852,0
11851,0
11850,0
11849,100
11848,0
11847,0
11846,0
11845,0
11844,0
11843,0
11842,12
11841,0
11840,0
11839,0
11838,0
11837,0
11836,0
11835,0
11834,100
11833,95
11832,100
11831,100
11830,71
11829,100
11828,0
11827,100
11826,100
11825,55
11824,100
11823,100
11822,0
11821,0
11820,0
11819,100
11818,0
11817,100
11816,100
11815,0
11814,0
11813,0
11812,0
11811,0
11810,0
11809,0
11808,0
11807,44
11806,33
11805,0
11804,100
11803,100
11802,0
11801,100
11800,100
11799,100
11798,96
11797,100
11796,100
11795,0
11794,0
11793,0
11792,0
11791,100
11790,0
11789,100
11788,0
11787,0
11786,0
11785,0
11784,6
11783,0
11782,0
11781,0
11780,98
11779,0
11778,0
11777,0
11776,100
11775,100
11774,100
11773,0
11772,100
11771,100
11770,45
11769,100
11768,100
11767,100
11766,0
