"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,15700643636.059303,14356076341.000000,3881,11541300.000000,45611714.000000,7758732.000000,11541300.000000,26311682.000000,0.170104,1229154295.059304,1191197000.000000,12,0.577889
2,15737750073.609467,14533444541.000000,3903,11471804.000000,45611714.000000,7862976.000000,11471804.000000,26276934.000000,0.172389,1089587492.609466,1145840000.000000,11,0.562883
3,15656715551.016855,14287933912.000000,3870,11387416.000000,45611714.000000,7805890.000000,11387416.000000,26418408.000000,0.171138,1254907479.016856,1203899000.000000,8,0.585397
4,15549840799.749664,14142575740.000000,3867,11219881.000000,45611714.000000,7880350.000000,11219881.000000,26511483.000000,0.172770,1295066249.749664,1251898000.000000,10,0.589611
5,15680481796.904854,14186012314.000000,3819,11444502.000000,45611714.000000,7606089.000000,11444502.000000,26561123.000000,0.166757,1380024462.904854,1326373000.000000,9,0.529219
6,15502606141.130577,14052683196.000000,3855,11275726.000000,45611714.000000,7808372.000000,11275726.000000,26527616.000000,0.171192,1337165685.130578,1280992000.000000,11,0.581379
7,15770326338.212255,14529720340.000000,3890,11590940.000000,45611714.000000,7769901.000000,11590940.000000,26250873.000000,0.170349,1124696598.212256,1162103000.000000,9,0.541309
8,15821588965.684893,14513468409.000000,3913,11744824.000000,45611714.000000,7753768.000000,11744824.000000,26113122.000000,0.169995,1190672316.684893,1192369000.000000,11,0.597476
9,15772536925.258526,14388460539.000000,3874,11528890.000000,45611714.000000,7741358.000000,11528890.000000,26341466.000000,0.169723,1268787486.258527,1250820000.000000,10,0.580082
10,15834784707.456957,14639253862.000000,3891,11530131.000000,45611714.000000,7809613.000000,11530131.000000,26271970.000000,0.171219,1080229535.456957,1126385000.000000,11,0.556419
